Key,en,es,ar,fr
Dashboard,Dashboard,Panel,لوحة القيادة,Tableau de bord
Language,Language,Idioma,لغة,Langue
Information,Information,Información,معلومة,Information
Language Information,Language Information,Información del idioma,معلومات اللغة,Informations linguistiques
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Responsable linguistique
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!,Langue créée avec succès !
Basic settings fetch successfully!,Basic settings fetch successfully!,¡La configuración básica se obtuvo correctamente!,تم جلب الإعدادات الأساسية بنجاح!,Les paramètres de base ont été récupérés avec succès !
Access denied! Unauthenticated,Access denied! Unauthenticated,¡Acceso denegado! No autenticado,تم رفض الوصول! غير مُصادق عليه,Accès refusé ! Non authentifié
Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,El código de verificación se envió correctamente a tu correo. Revisa tu bandeja de entrada/spam para verificar.,تم إرسال رمز التحقق بنجاح إلى بريدك الإلكتروني. يُرجى مراجعة صندوق الوارد/البريد العشوائي للتحقق.,Code de vérification envoyé avec succès. Veuillez vérifier votre boîte mail et vos spams.
Verification code resend successfully!,Verification code resend successfully!,¡El código de verificación se reenvió exitosamente!,تم إعادة إرسال رمز التحقق بنجاح!,Le code de vérification a été renvoyé avec succès !
Invalid OTP. Please try again,Invalid OTP. Please try again,Contraseña de un solo uso no válida. Inténtalo de nuevo.,كلمة مرور لمرة واحدة غير صالحة. يُرجى المحاولة مرة أخرى.,Mot de passe à usage unique invalide. Veuillez réessayer.
Account successfully verified,Account successfully verified,Cuenta verificada exitosamente,تم التحقق من الحساب بنجاح,Compte vérifié avec succès
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado KYC,أنت بالفعل مستخدم تم التحقق من KYC,Vous êtes déjà un utilisateur vérifié KYC
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,Tu información KYC ha sido enviada. Espera la confirmación del administrador.,تم إرسال معلومات KYC الخاصة بك. يُرجى انتظار تأكيد الإدارة.,Vos informations KYC ont été soumises. Veuillez attendre la confirmation de l'administrateur.
User KYC section is under maintenance,User KYC section is under maintenance,La sección KYC del usuario está en mantenimiento,قسم KYC للمستخدم قيد الصيانة,La section KYC des utilisateurs est en cours de maintenance
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada KYC del usuario se obtuvieron correctamente!,تم جلب حقول إدخال KYC للمستخدم بنجاح!,Les champs de saisie KYC de l'utilisateur ont été récupérés avec succès !
KYC information successfully submitted,KYC information successfully submitted,Información KYC enviada correctamente,تم إرسال معلومات KYC بنجاح,Les informations KYC ont été soumises avec succès
Your account secure with google 2FA,Your account secure with google 2FA,Tu cuenta segura con Google 2FA,حسابك آمن مع Google 2FA,Votre compte sécurisé avec Google 2FA
To enable two factor authentication (powered by google) please visit your web dashboard Click here:,To enable two factor authentication (powered by google) please visit your web dashboard Click here:,"Para habilitar la autenticación de dos factores (con tecnología de Google), visite su panel de control web. Haga clic aquí:",لتفعيل المصادقة الثنائية (مدعومة من جوجل)، يرجى زيارة لوحة معلومات الويب الخاصة بك انقر هنا:,"Pour activer l'authentification à deux facteurs (propulsée par Google), veuillez visiter votre tableau de bord Web. Cliquez ici :"
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,Su clave secreta no se ha almacenado correctamente. Contacte con el administrador del sistema.,مفتاحك السري غير مُخزَّن بشكل صحيح. يُرجى التواصل مع مسؤول النظام.,Votre clé secrète n'est pas correctement enregistrée. Veuillez contacter l'administrateur système.
Google 2FA successfully verified!,Google 2FA successfully verified!,¡Google 2FA verificado exitosamente!,تم التحقق من Google 2FA بنجاح!,Google 2FA vérifié avec succès !
Invalid authentication code,Invalid authentication code,Código de autenticación no válido,رمز المصادقة غير صالح,Code d'authentification invalide
Failed to login. Please try again,Failed to login. Please try again,Error al iniciar sesión. Inténtalo de nuevo.,فشل تسجيل الدخول. يُرجى المحاولة مرة أخرى.,Échec de la connexion. Veuillez réessayer.
User doesn't exists,User doesn't exists,El usuario no existe,المستخدم غير موجود,L'utilisateur n'existe pas
Your account is temporary banded. Please contact with system admin,Your account is temporary banded. Please contact with system admin,"Su cuenta está bloqueada temporalmente. Por favor, contacte con el administrador del sistema.",حسابك مُعطل مؤقتًا. يُرجى التواصل مع مسؤول النظام.,Votre compte est temporairement bloqué. Veuillez contacter l'administrateur système.
Verification code sended to your email address,Verification code sended to your email address,Código de verificación enviado a su dirección de correo electrónico,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني,Code de vérification envoyé à votre adresse e-mail
Session expired. Please try again,Session expired. Please try again,La sesión ha expirado. Inténtalo de nuevo.,انتهت الجلسة. يُرجى المحاولة مرة أخرى.,Session expirée. Veuillez réessayer.
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,كلمة المرور للتحقق غير صالحة,La vérification OTP n'est pas valide
OTP successfully verified!,OTP successfully verified!,¡OTP verificado exitosamente!,تم التحقق من OTP بنجاح!,OTP vérifié avec succès !
